ptp4l[339819.652]: port 1 (enxb827ebcf092b): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[339819.653]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[339819.654]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[339836.416]: master offset -1425457825 s0 freq   -7718 path delay    343345
ptp4l[339837.566]: master offset -1425472937 s0 freq   -7718 path delay    388180
ptp4l[339838.225]: master offset -1425512901 s0 freq   -7718 path delay    388180
ptp4l[339839.226]: master offset -1425495456 s0 freq   -7718 path delay    394435
ptp4l[339841.374]: master offset -1425513817 s0 freq   -7718 path delay    388180
ptp4l[339842.278]: master offset -1425492731 s0 freq   -7718 path delay    388180
ptp4l[339843.886]: master offset -1425508625 s0 freq   -7718 path delay    367581
ptp4l[339845.097]: master offset -1425460810 s0 freq   -7718 path delay    346982
ptp4l[339845.103]: master offset -1425431980 s0 freq   -7718 path delay    327993
ptp4l[339845.562]: master offset -1425481243 s0 freq   -7718 path delay    327993
ptp4l[339846.923]: master offset -1425419866 s0 freq   -7718 path delay    309005
ptp4l[339847.738]: master offset -1425456423 s0 freq   -7718 path delay    306796
ptp4l[339848.227]: master offset -1425423981 s0 freq   -7718 path delay    306796
ptp4l[339849.227]: master offset -1425428743 s0 freq   -7718 path delay    306796
ptp4l[339850.238]: master offset -1425461614 s0 freq   -7718 path delay    301819
ptp4l[339852.026]: master offset -1425416998 s0 freq   -7718 path delay    301819
ptp4l[339853.309]: master offset -1425452184 s1 freq   -7366 path delay    314933
ptp4l[339853.323]: master offset      68729 s2 freq    -424 path delay    314933
ptp4l[339854.402]: master offset -1404077319 s0 freq    -424 path delay    349576
ptp4l[339855.439]: master offset -1404059509 s0 freq    -424 path delay    349576
ptp4l[339856.237]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339857.120]: master offset -1404076789 s0 freq    -424 path delay    321662
ptp4l[339859.064]: master offset -1404059184 s0 freq    -424 path delay    321662
ptp4l[339859.827]: master offset -1404043672 s0 freq    -424 path delay    321662
ptp4l[339861.350]: master offset -1404105321 s0 freq    -424 path delay    323327
ptp4l[339863.285]: master offset -1404060678 s0 freq    -424 path delay    316598
ptp4l[339864.606]: master offset -1404079315 s0 freq    -424 path delay    316598
ptp4l[339865.080]: master offset -1404126003 s0 freq    -424 path delay    316598
ptp4l[339865.232]: master offset -1404097544 s0 freq    -424 path delay    306692
ptp4l[339868.795]: master offset -1404141057 s0 freq    -424 path delay    306692
ptp4l[339869.278]: master offset -1404119167 s0 freq    -424 path delay    302375
ptp4l[339869.978]: master offset -1404149575 s0 freq    -424 path delay    302375
ptp4l[339869.985]: master offset -1404164170 s0 freq    -424 path delay    302375
ptp4l[339870.233]: master offset -1404140145 s0 freq    -424 path delay    293656
ptp4l[339872.229]: master offset -1404159840 s0 freq    -424 path delay    293656
ptp4l[339873.578]: master offset -1404171116 s1 freq  -13195 path delay    293656
ptp4l[339874.548]: master offset -1404193329 s0 freq  -13195 path delay    293656
ptp4l[339874.556]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339876.021]: master offset -1401361467 s0 freq  -13195 path delay    293656
ptp4l[339876.967]: master offset -1401289639 s0 freq  -13195 path delay    287845
ptp4l[339876.969]: master offset -1401323181 s0 freq  -13195 path delay    287845
ptp4l[339877.634]: master offset -1401304712 s0 freq  -13195 path delay    294134
ptp4l[339878.471]: master offset -1401264591 s0 freq  -13195 path delay    296999
ptp4l[339879.564]: master offset -1401289025 s0 freq  -13195 path delay    307806
ptp4l[339880.897]: master offset -1401265953 s0 freq  -13195 path delay    308999
ptp4l[339881.234]: master offset -1401251294 s0 freq  -13195 path delay    308999
ptp4l[339883.820]: master offset -1401287316 s0 freq  -13195 path delay    316494
ptp4l[339885.057]: master offset -1401298423 s0 freq  -13195 path delay    316494
ptp4l[339885.568]: master offset -1401278240 s0 freq  -13195 path delay    308999
ptp4l[339885.569]: master offset -1401239676 s0 freq  -13195 path delay    308999
ptp4l[339886.236]: master offset -1401265842 s0 freq  -13195 path delay    308999
ptp4l[339887.684]: master offset -1401237679 s0 freq  -13195 path delay    308999
ptp4l[339889.366]: master offset -1401238872 s0 freq  -13195 path delay    309814
ptp4l[339889.672]: master offset -1401234237 s0 freq  -13195 path delay    309814
ptp4l[339890.246]: master offset -1401262064 s0 freq  -13195 path delay    319223
ptp4l[339893.176]: master offset -1401276497 s1 freq   -8141 path delay    319223
ptp4l[339893.187]: master offset      31168 s2 freq   -4993 path delay    319223
ptp4l[339894.328]: master offset      32906 s2 freq   -4787 path delay    319223
ptp4l[339894.330]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339895.039]: master offset -1412218053 s0 freq   -4787 path delay    319223
ptp4l[339895.813]: master offset -1412246316 s0 freq   -4787 path delay    328202
ptp4l[339896.238]: master offset -1412230564 s0 freq   -4787 path delay    313571
ptp4l[339898.390]: master offset -1412219947 s0 freq   -4787 path delay    301787
ptp4l[339898.691]: master offset -1412212864 s0 freq   -4787 path delay    301787
ptp4l[339899.238]: master offset -1412203977 s0 freq   -4787 path delay    301331
ptp4l[339900.511]: master offset -1412239469 s0 freq   -4787 path delay    310489
ptp4l[339901.276]: master offset -1412230635 s0 freq   -4787 path delay    303762
ptp4l[339902.818]: master offset -1412265180 s0 freq   -4787 path delay    300932
ptp4l[339904.067]: master offset -1412237049 s0 freq   -4787 path delay    300932
ptp4l[339904.240]: master offset -1412244980 s0 freq   -4787 path delay    307564
ptp4l[339906.403]: master offset -1412293990 s0 freq   -4787 path delay    307564
ptp4l[339907.237]: master offset -1412313523 s0 freq   -4787 path delay    307564
ptp4l[339907.337]: master offset -1412309946 s0 freq   -4787 path delay    307564
ptp4l[339909.292]: master offset -1412248696 s0 freq   -4787 path delay    283045
ptp4l[339910.871]: master offset -1412216420 s0 freq   -4787 path delay    283045
ptp4l[339910.872]: master offset -1412245771 s1 freq   -9753 path delay    283045
ptp4l[339911.963]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339911.964]: master offset -1398819455 s0 freq   -9753 path delay    283045
ptp4l[339912.438]: master offset -1398763231 s0 freq   -9753 path delay    281129
ptp4l[339914.847]: master offset -1398781035 s0 freq   -9753 path delay    281129
ptp4l[339914.855]: master offset -1398748470 s0 freq   -9753 path delay    281129
ptp4l[339916.021]: master offset -1398796207 s0 freq   -9753 path delay    287751
ptp4l[339916.299]: master offset -1398816289 s0 freq   -9753 path delay    287751
ptp4l[339918.064]: master offset -1398770879 s0 freq   -9753 path delay    304868
ptp4l[339918.243]: master offset -1398794049 s0 freq   -9753 path delay    312963
ptp4l[339921.254]: master offset -1398823479 s0 freq   -9753 path delay    312963
ptp4l[339922.943]: master offset -1398830234 s0 freq   -9753 path delay    312963
ptp4l[339922.949]: master offset -1398818117 s0 freq   -9753 path delay    312963
ptp4l[339922.951]: master offset -1398795263 s0 freq   -9753 path delay    299859
ptp4l[339924.262]: master offset -1398813941 s0 freq   -9753 path delay    306449
ptp4l[339925.091]: master offset -1398810077 s0 freq   -9753 path delay    306449
ptp4l[339925.485]: master offset -1398766850 s0 freq   -9753 path delay    306449
ptp4l[339926.255]: master offset -1398749304 s0 freq   -9753 path delay    300504
ptp4l[339929.395]: master offset -1398804783 s0 freq   -9753 path delay    300504
ptp4l[339930.721]: master offset -1398788703 s1 freq   -8113 path delay    300504
ptp4l[339931.409]: master offset -1403461414 s0 freq   -8113 path delay    300504
ptp4l[339932.245]: master offset -1403454498 s0 freq   -8113 path delay    304448
ptp4l[339933.245]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339934.332]: master offset -1403451977 s0 freq   -8113 path delay    304714
ptp4l[339935.737]: master offset -1403428144 s0 freq   -8113 path delay    304714
ptp4l[339935.744]: master offset -1403495996 s0 freq   -8113 path delay    305008
ptp4l[339937.437]: master offset -1403462713 s0 freq   -8113 path delay    305008
ptp4l[339937.645]: master offset -1403461732 s0 freq   -8113 path delay    305008
ptp4l[339938.856]: master offset -1403472316 s0 freq   -8113 path delay    305008
ptp4l[339940.271]: master offset -1403451317 s0 freq   -8113 path delay    304219
ptp4l[339940.618]: master offset -1403452867 s0 freq   -8113 path delay    304219
ptp4l[339941.258]: master offset -1403469333 s0 freq   -8113 path delay    305548
ptp4l[339942.640]: master offset -1403468919 s0 freq   -8113 path delay    308443
ptp4l[339944.091]: master offset -1403484368 s0 freq   -8113 path delay    311598
ptp4l[339945.578]: master offset -1403460978 s0 freq   -8113 path delay    308443
ptp4l[339945.592]: master offset -1403448113 s0 freq   -8113 path delay    308443
ptp4l[339948.634]: master offset -1403506548 s0 freq   -8113 path delay    311598
ptp4l[339948.645]: master offset -1403432849 s0 freq   -8113 path delay    308443
ptp4l[339948.650]: master offset -1403515626 s0 freq   -8113 path delay    308443
ptp4l[339949.633]: master offset -1403491431 s1 freq  -10558 path delay    307610
ptp4l[339950.341]: master offset -1406271786 s0 freq  -10558 path delay    307610
ptp4l[339951.258]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339952.507]: master offset -1406271640 s0 freq  -10558 path delay    311598
ptp4l[339953.491]: master offset -1406250124 s0 freq  -10558 path delay    311598
ptp4l[339953.928]: master offset -1406273043 s0 freq  -10558 path delay    312485
ptp4l[339954.660]: master offset -1406272408 s0 freq  -10558 path delay    314409
ptp4l[339955.931]: master offset -1406275436 s0 freq  -10558 path delay    314409
ptp4l[339957.681]: master offset -1406253599 s0 freq  -10558 path delay    308497
ptp4l[339957.840]: master offset -1406250470 s0 freq  -10558 path delay    308497
ptp4l[339958.252]: master offset -1406230027 s0 freq  -10558 path delay    298771
ptp4l[339959.295]: master offset -1406245460 s0 freq  -10558 path delay    307165
ptp4l[339960.753]: master offset -1406226374 s0 freq  -10558 path delay    307165
ptp4l[339961.808]: master offset -1406239971 s0 freq  -10558 path delay    307165
ptp4l[339963.051]: master offset -1406216240 s0 freq  -10558 path delay    301667
ptp4l[339963.393]: master offset -1406237732 s0 freq  -10558 path delay    305498
ptp4l[339964.253]: master offset -1406195892 s0 freq  -10558 path delay    305498
ptp4l[339966.056]: master offset -1406228456 s0 freq  -10558 path delay    311113
ptp4l[339966.881]: master offset -1406230355 s0 freq  -10558 path delay    311113
ptp4l[339967.948]: master offset -1406235147 s1 freq   -8277 path delay    311113
ptp4l[339969.663]: master offset -1410606000 s0 freq   -8277 path delay    311113
ptp4l[339969.667]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339969.815]: master offset -1410622376 s0 freq   -8277 path delay    311113
ptp4l[339971.083]: master offset -1410609838 s0 freq   -8277 path delay    307180
ptp4l[339972.008]: master offset -1410601090 s0 freq   -8277 path delay    307180
ptp4l[339973.120]: master offset -1410644243 s0 freq   -8277 path delay    307180
ptp4l[339973.576]: master offset -1410616696 s0 freq   -8277 path delay    307180
ptp4l[339975.191]: master offset -1410602088 s0 freq   -8277 path delay    307400
ptp4l[339977.137]: master offset -1410640247 s0 freq   -8277 path delay    307400
ptp4l[339977.722]: master offset -1410621238 s0 freq   -8277 path delay    307400
ptp4l[339978.780]: master offset -1410648077 s0 freq   -8277 path delay    308569
ptp4l[339978.780]: master offset -1410656192 s0 freq   -8277 path delay    304636
ptp4l[339980.208]: master offset -1410643534 s0 freq   -8277 path delay    304636
ptp4l[339982.199]: master offset -1410641711 s0 freq   -8277 path delay    304636
ptp4l[339982.910]: master offset -1410598962 s0 freq   -8277 path delay    304636
ptp4l[339982.911]: master offset -1410657437 s0 freq   -8277 path delay    308792
ptp4l[339983.632]: master offset -1410627784 s0 freq   -8277 path delay    308792
ptp4l[339984.561]: master offset -1410656909 s0 freq   -8277 path delay    308792
ptp4l[339986.602]: master offset -1410647653 s0 freq   -8277 path delay    308101
ptp4l[339987.977]: master offset -1410599605 s1 freq   -6933 path delay    308101
ptp4l[339989.644]: master offset      30356 s2 freq   -3867 path delay    308101
ptp4l[339989.647]: master offset -1413785592 s0 freq   -3867 path delay    308101
ptp4l[339990.024]: master offset -1413750742 s0 freq   -3867 path delay    308101
ptp4l[339990.258]: master offset -1413775105 s0 freq   -3867 path delay    303218
ptp4l[339991.257]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[339992.957]: master offset -1413803551 s0 freq   -3867 path delay    303218
ptp4l[339993.062]: master offset -1413746763 s0 freq   -3867 path delay    303218
ptp4l[339994.423]: master offset -1413789228 s0 freq   -3867 path delay    301262
ptp4l[339995.386]: master offset -1413761778 s0 freq   -3867 path delay    301262
ptp4l[339995.391]: master offset -1413801045 s0 freq   -3867 path delay    301262
ptp4l[339997.269]: master offset -1413766723 s0 freq   -3867 path delay    295170
ptp4l[339997.725]: master offset -1413772392 s0 freq   -3867 path delay    295170
ptp4l[339998.883]: master offset -1413773928 s0 freq   -3867 path delay    295170
ptp4l[339999.800]: master offset -1413792661 s0 freq   -3867 path delay    295170
ptp4l[340000.260]: master offset -1413795370 s0 freq   -3867 path delay    295170
ptp4l[340002.167]: master offset -1413796064 s0 freq   -3867 path delay    295170
ptp4l[340003.349]: master offset -1413786900 s0 freq   -3867 path delay    302003
ptp4l[340003.574]: master offset -1413788356 s0 freq   -3867 path delay    302003
ptp4l[340005.462]: master offset -1413803808 s0 freq   -3867 path delay    306655
ptp4l[340005.470]: master offset -1413811124 s0 freq   -3867 path delay    306655
ptp4l[340007.052]: master offset -1413848687 s0 freq   -3867 path delay    309299
ptp4l[340008.524]: master offset -1413852414 s1 freq   -9956 path delay    309299
ptp4l[340008.601]: master offset      72327 s2 freq   -2651 path delay    309299
ptp4l[340009.672]: master offset -1405114309 s0 freq   -2651 path delay    309299
ptp4l[340010.850]: master offset -1405161336 s0 freq   -2651 path delay    317664
ptp4l[340011.260]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340011.353]: master offset -1405179376 s0 freq   -2651 path delay    326188
ptp4l[340013.237]: master offset -1405163038 s0 freq   -2651 path delay    331089
ptp4l[340013.262]: master offset -1405166620 s0 freq   -2651 path delay    326188
ptp4l[340015.429]: master offset -1405199206 s0 freq   -2651 path delay    326188
ptp4l[340015.610]: master offset -1405142915 s0 freq   -2651 path delay    317990
ptp4l[340016.537]: master offset -1405174819 s0 freq   -2651 path delay    317990
ptp4l[340018.715]: master offset -1405182470 s0 freq   -2651 path delay    314303
ptp4l[340020.041]: master offset -1405160230 s0 freq   -2651 path delay    314303
ptp4l[340021.497]: master offset -1405235377 s0 freq   -2651 path delay    310495
ptp4l[340021.504]: master offset -1405196662 s0 freq   -2651 path delay    310203
ptp4l[340023.943]: master offset -1405224338 s0 freq   -2651 path delay    310203
ptp4l[340023.949]: master offset -1405232489 s0 freq   -2651 path delay    310203
ptp4l[340023.955]: master offset -1405212297 s0 freq   -2651 path delay    301400
ptp4l[340024.352]: master offset -1405203544 s0 freq   -2651 path delay    301400
ptp4l[340025.265]: master offset -1405178472 s0 freq   -2651 path delay    291048
ptp4l[340026.265]: master offset -1405226804 s0 freq   -2651 path delay    301400
ptp4l[340028.710]: master offset -1405231311 s1 freq  -13129 path delay    301692
ptp4l[340029.163]: master offset      49337 s2 freq   -8146 path delay    301692
ptp4l[340030.535]: master offset -1403783228 s0 freq   -8146 path delay    301692
ptp4l[340030.605]: master offset -1403774982 s0 freq   -8146 path delay    301692
ptp4l[340031.265]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340031.347]: master offset -1403755131 s0 freq   -8146 path delay    297830
ptp4l[340032.267]: master offset -1403773104 s0 freq   -8146 path delay    318194
ptp4l[340033.765]: master offset -1403794858 s0 freq   -8146 path delay    327449
ptp4l[340035.740]: master offset -1403830441 s0 freq   -8146 path delay    343519
ptp4l[340035.740]: master offset -1403815735 s0 freq   -8146 path delay    343519
ptp4l[340036.806]: master offset -1403835678 s0 freq   -8146 path delay    348126
ptp4l[340037.307]: master offset -1403783023 s0 freq   -8146 path delay    323477
ptp4l[340038.913]: master offset -1403766609 s0 freq   -8146 path delay    323477
ptp4l[340040.123]: master offset -1403796361 s0 freq   -8146 path delay    348126
ptp4l[340042.269]: master offset -1403780131 s0 freq   -8146 path delay    305535
ptp4l[340044.060]: master offset -1403764403 s0 freq   -8146 path delay    291164
ptp4l[340044.278]: master offset -1403743127 s0 freq   -8146 path delay    281817
ptp4l[340045.269]: master offset -1403760206 s0 freq   -8146 path delay    301450
ptp4l[340047.672]: master offset -1403776741 s0 freq   -8146 path delay    303331
ptp4l[340047.687]: master offset -1403720302 s1 freq  -10958 path delay    303331
ptp4l[340048.981]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340048.982]: master offset -1410296537 s0 freq  -10958 path delay    303331
ptp4l[340049.792]: master offset -1410283903 s0 freq  -10958 path delay    305426
ptp4l[340051.026]: master offset -1410261124 s0 freq  -10958 path delay    292936
ptp4l[340051.570]: master offset -1410267384 s0 freq  -10958 path delay    292084
ptp4l[340053.653]: master offset -1410270308 s0 freq  -10958 path delay    294179
ptp4l[340055.560]: master offset -1410211657 s0 freq  -10958 path delay    294179
ptp4l[340056.031]: master offset -1410279451 s0 freq  -10958 path delay    296681
ptp4l[340057.925]: master offset -1410243324 s0 freq  -10958 path delay    296681
ptp4l[340057.929]: master offset -1410256345 s0 freq  -10958 path delay    294179
ptp4l[340059.132]: master offset -1410254658 s0 freq  -10958 path delay    294179
ptp4l[340059.135]: master offset -1410266526 s0 freq  -10958 path delay    296681
ptp4l[340061.117]: master offset -1410216729 s0 freq  -10958 path delay    294324
ptp4l[340062.579]: master offset -1410204532 s0 freq  -10958 path delay    294324
ptp4l[340062.581]: master offset -1410210402 s0 freq  -10958 path delay    296826
ptp4l[340062.762]: master offset -1410248249 s0 freq  -10958 path delay    296826
ptp4l[340064.306]: master offset -1410227746 s0 freq  -10958 path delay    298966
ptp4l[340064.839]: master offset -1410205731 s0 freq  -10958 path delay    298966
ptp4l[340065.513]: master offset -1410214871 s1 freq   -5946 path delay    293110
ptp4l[340066.274]: master offset -1412143754 s0 freq   -5946 path delay    293110
ptp4l[340067.273]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340067.403]: master offset -1412170599 s0 freq   -5946 path delay    298966
ptp4l[340069.100]: master offset -1412158319 s0 freq   -5946 path delay    298966
ptp4l[340069.886]: master offset -1412172729 s0 freq   -5946 path delay    298966
ptp4l[340070.627]: master offset -1412191828 s0 freq   -5946 path delay    304248
ptp4l[340072.610]: master offset -1412164941 s0 freq   -5946 path delay    306104
ptp4l[340073.982]: master offset -1412146267 s0 freq   -5946 path delay    306104
ptp4l[340074.038]: master offset -1412212394 s0 freq   -5946 path delay    306716
ptp4l[340074.338]: master offset -1412198639 s0 freq   -5946 path delay    308179
ptp4l[340076.129]: master offset -1412196169 s0 freq   -5946 path delay    311329
ptp4l[340076.277]: master offset -1412210311 s0 freq   -5946 path delay    311329
ptp4l[340077.520]: master offset -1412163639 s0 freq   -5946 path delay    311329
ptp4l[340078.400]: master offset -1412245410 s0 freq   -5946 path delay    331355
ptp4l[340079.936]: master offset -1412294005 s0 freq   -5946 path delay    370940
ptp4l[340080.287]: master offset -1412267910 s0 freq   -5946 path delay    370940
ptp4l[340081.278]: master offset -1412217465 s0 freq   -5946 path delay    333094
ptp4l[340082.278]: master offset -1412218402 s0 freq   -5946 path delay    313428
ptp4l[340085.133]: master offset -1412249218 s1 freq  -10858 path delay    310990
ptp4l[340086.280]: master offset      43664 s2 freq   -6448 path delay    310990
ptp4l[340086.281]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340086.600]: master offset -1400633522 s0 freq   -6448 path delay    310990
ptp4l[340086.604]: master offset -1400609673 s0 freq   -6448 path delay    310990
ptp4l[340088.598]: master offset -1400603342 s0 freq   -6448 path delay    308881
ptp4l[340090.243]: master offset -1400588091 s0 freq   -6448 path delay    308881
ptp4l[340090.248]: master offset -1400570980 s0 freq   -6448 path delay    302975
ptp4l[340091.613]: master offset -1400619090 s0 freq   -6448 path delay    302975
ptp4l[340091.613]: master offset -1400625521 s0 freq   -6448 path delay    302975
ptp4l[340093.609]: master offset -1400640768 s0 freq   -6448 path delay    302975
ptp4l[340095.438]: master offset -1400603582 s0 freq   -6448 path delay    302975
ptp4l[340095.449]: master offset -1400631740 s0 freq   -6448 path delay    302975
ptp4l[340095.451]: master offset -1400652419 s0 freq   -6448 path delay    302975
ptp4l[340096.282]: master offset -1400608679 s0 freq   -6448 path delay    306259
ptp4l[340098.174]: master offset -1400608892 s0 freq   -6448 path delay    302975
ptp4l[340098.281]: master offset -1400639120 s0 freq   -6448 path delay    296301
ptp4l[340099.281]: master offset -1400591110 s0 freq   -6448 path delay    296301
ptp4l[340100.864]: master offset -1400603759 s0 freq   -6448 path delay    296301
ptp4l[340101.922]: master offset -1400607627 s0 freq   -6448 path delay    298017
ptp4l[340102.281]: master offset -1400627511 s1 freq  -10439 path delay    299431
ptp4l[340103.738]: master offset -1404938336 s0 freq  -10439 path delay    299431
ptp4l[340104.282]: master offset -1404925578 s0 freq  -10439 path delay    306286
ptp4l[340105.290]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340106.377]: master offset -1404930063 s0 freq  -10439 path delay    304417
ptp4l[340106.386]: master offset -1404911816 s0 freq  -10439 path delay    304417
ptp4l[340107.393]: master offset -1404904717 s0 freq  -10439 path delay    303256
ptp4l[340108.700]: master offset -1404892038 s0 freq  -10439 path delay    304417
ptp4l[340110.432]: master offset -1404890623 s0 freq  -10439 path delay    306648
ptp4l[340110.880]: master offset -1404882581 s0 freq  -10439 path delay    306648
ptp4l[340111.284]: master offset -1404928554 s0 freq  -10439 path delay    313629
ptp4l[340112.826]: master offset -1404943607 s0 freq  -10439 path delay    317334
ptp4l[340113.284]: master offset -1404909770 s0 freq  -10439 path delay    317334
